Company,MetricID,Score,Reason1,Reason2,Reason3
JetBlue,C1.1,3,"Page 18: 'Our long-term goal is to achieve net zero carbon emissions by 2040, and we are setting clear targets and delivering with real action along the way.'","Page 20: 'Emissions Achieve net zero carbon emissions by 2040, including high-integrity carbon offsets'",
JetBlue,C1.2,3,"Page 18: 'Our long-term goal is to achieve net zero carbon emissions by 2040, and we are setting clear targets and delivering with real action along the way.'","Page 27: 'With anticipation of continued European expansion to Paris (CDG) and Amsterdam (AMS) in 2025, the EHS team modeled a similar approach with our prior expansion to London (LHR and LGW) in order to understand European standards and expectations to facilitate compliance obligations as appropriate.'",
JetBlue,C1.3,3,"Page 18: 'Our long-term goal is to achieve net zero carbon emissions by 2040, and we are setting clear targets and delivering with real action along the way.'","Page 20: 'Reduce aircraft emissions 25% per available seat mile (ASM) by 2030 from 2015 levels, excluding offsets'",
JetBlue,C5.5,3,"Page 81: 'Scope 2 Emissions (location-based) 28,572 0.27%'","Page 29: 'Scope 2 Indirect Energy Purchased Electricity 26,656 25,944 23,758 25,945 28,572'",
JetBlue,C7.1,3,"Page 29: 'Indirect Other (Scope 3) 1. Purchased goods and services 168,597 2. Capital goods 139,980 3. Fuel and energy related activities 1,698,105 1,772,985 1,687,085 1,395,092 1,687,085 6. Business travel 50,847 8. Upstream leased assets 94,692'",,
Microsoft,C1.1,3,"Page 4: ""As we enter the second half of the decade, Microsoft remains steadfast in our dedication to achieving the company's 2030 environmental sustainability commitments."", ""Our cross-company Climate Council brings together leaders from across Microsoft to drive innovation, accelerate progress, and identify ways to build sustainability into our operations, products, and partnerships.""","Page 8: ""Microsoft sustainability: Taking care of our own environmental footprint. Our sustainability work starts with taking account of our operational footprint. This means reducing and even eliminating emissions related to our operational footprint across our campuses, datacenters, devices, software, and value chain.""","Page 10: ""Our approach: In our 2024 Sustainability Report, we highlighted the establishment of the Microsoft Climate Council, an internal leadership body with representatives from nearly every business organization at Microsoft. This council works to track and accelerate progress, review new reduction measures, and help the company achieve our environmental sustainability commitments."""
Microsoft,C1.2,3,,"Page 19: ""In 2024, we contracted an additional 19 GW of new renewable energy across 16 countries, further diversifying our energy portfolio.""","Page 72: ""Microsoft’s actions alone cannot solve the climate crisis. As a global technology leader, we are also committed to helping develop the market conditions and standards and launch solutions that will support a net zero economy."""
Microsoft,C1.3,3,"Page 11: ""By 2030, Microsoft will cut its emissions by more than half compared to 2020 and remove more carbon than it emits.""","Page 11: ""We will reduce our Scope 1 and 2 emissions to near zero against a 2020 baseline by increasing energy efficiency, decarbonization of our operations, and reaching 100% renewable energy by 2025.""","Page 11: ""By 2030, we will reduce our Scope 3 emissions by more than half from a 2020 baseline."""
Microsoft,C5.5,1,"Page 12: ""Scope 2 and 3 emissions included in this chart are market-based.""","Page 13: ""Scope 2 and 3 emissions included in this chart are market-based.""",
Microsoft,C7.1,3,"Page 13: ""Microsoft’s Scope 3 emissions continue to account for more than 97% of our total emissions.""","Page 13: ""Tackling Scope 3 means decarbonizing industrial processes such as steel, concrete, and other building material production for use in our campus and datacenter construction, as well as jet fuel for business travel and logistics, with the vast majority of these emissions coming from two categories upstream, Purchased Goods and Services (Category 1) and Capital Goods (Category 2), and one downstream, Use of Sold Products (Category 11).""","Page 13: ""Scope 3 Categories
 1 Purchased Goods and Services 34.04%
 2 Capital Goods 40.83%
 ...
 11 Use of Sold Products 11.83%"""
Adidas,C1.1,1,"Page 174: ""The adidas climate strategy reflects this imperative. It lays out the actions and targets we are taking to reduce greenhouse gas (GHG) emissions in our business and across our value chain, aiming to reach net-zero by 2050.""","Page 183: ""We aim to achieve net-zero GHG emissions (Scope 1, 2, and 3) for the entire value chain by 205012.""","Page 146: ""The Sustainability Statement has been prepared on a consolidated basis and includes adidas AG and all its direct and indirect subsidiaries. An entity is considered a subsidiary if it is controlled by adidas AG. The scope of consolidation of the Sustainability Statement therefore follows the financial reporting scope."""
Adidas,C1.2,1,"Page 174: ""The adidas climate strategy reflects this imperative. It lays out the actions and targets we are taking to reduce greenhouse gas (GHG) emissions in our business and across our value chain, aiming to reach net-zero11 by 2050.""","Page 183: ""We aim to achieve net-zero GHG emissions (Scope 1, 2, and 3) for the entire value chain by 205012.""","Page 159: ""As of the end of the reporting period, adidas employed approximately 62,035 people worldwide. The geographical distribution of our employees is as follows ► SEE ESRS S1 OWN WORKFORCE"""
Adidas,C1.3,3,"Page 176: ""Our climate strategy targets are approved by the SBTi and in line with a 1.5°C pathway – the most ambitious goal established by the Paris Agreement.""","Page 183: ""We aim to achieve net-zero GHG emissions (Scope 1, 2, and 3) for the entire value chain by 205012.""",
Adidas,C5.5,3,"Page 192: ""E1-6 – Gross Scopes 1, 2, 3 and total GHG emissions ... Scope 2 emissions, market-based (in tons CO2e) ... Scope 2 emissions, location-based (in tons CO2e)""","Page 193: ""E1-6 – Gross Scopes 1, 2, 3 and total GHG emissions ... Scope 2 emissions, market-based (in tons CO2e) ... Scope 2 emissions, location-based (in tons CO2e)""",
Adidas,C7.1,2,"Page 194: ""Scope 3 GHG emissions include the following significant categories: ... Purchased goods and services ... Upstream transportation and distribution ... Business travel ... Use of sold products ... End-of-life treatment of sold products""","Page 194: ""Scope 3 GHG emissions related to the following categories are insignificant for adidas due to their estimated magnitude and excluded from the reported data, accordingly: ...""","Page 193: ""We aim to reduce absolute GHG emissions across the supply chain (Scope 3)13 by 42% by 2030, measured against a baseline of 2022."""
Apple,C1.1,3,Page 3: Apple 2030 is our commitment to be carbon neutral for our entire footprint by the end of the decade. ',"Page 7: Apple 2030 is our commitment to be carbon neutral for our entire carbon footprint. Our journey to 2030 is focused on first reducing our scope 1, 2, and 3 greenhouse gas emissions by 75 percent compared with 2015, and investing in high-quality carbon removal solutions for the remaining emissions. '",Page 12: Our goal to be carbon neutral extends to our entire carbon footprint and is consistent with the Intergovernmental Panel on Climate Change 's (IPCC) recommendation for global carbon neutrality. We 're also committed to working toward reaching a 90 percent reduction in emissions from our 2015 baseline by 2050. '
Apple,C1.2,3,"Page 3: Our teams and suppliers are a part of so many communities, so Apple 's work to protect the planet takes us around the world. '",Page 12: Our goal to be carbon neutral extends to our entire carbon footprint and is consistent with the Intergovernmental Panel on Climate Change 's (IPCC) recommendation for global carbon neutrality. We 're also committed to working toward reaching a 90 percent reduction in emissions from our 2015 baseline by 2050. ',"Page 77: Greenhouse gas emissions 'Boundary / Protocol: Worldwide occupied properties / WRI/WBCSD GHG Protocol ' (for various scope 1, 2, and 3 categories)."
Apple,C1.3,3,"Page 7: Apple 2030 is our commitment to be carbon neutral for our entire carbon footprint. Our journey to 2030 is focused on first reducing our scope 1, 2, and 3 greenhouse gas emissions by 75 percent compared with 2015, and investing in high-quality carbon removal solutions for the remaining emissions. '",Page 12: Our emissions reduction targets are aligned with what current climate science shows is necessary to help limit warming to 1.5' C. We 're also committed to working toward reaching a 90 percent reduction in emissions from our 2015 baseline by 2050. ',"Page 9: Our journey to 2030 centers on reducing our scope 1, 2, and 3 emissions first ' upstream and downstream ' by 75 percent before balancing remaining emissions with high-quality carbon removals. '"
Apple,C5.5,3,"Page 77: Greenhouse gas emissions 'Apple 's carbon footprint boundary is aligned with the Greenhouse Gas (GHG) Protocol framework and includes emissions that are material and relevant to Apple, where data is available. '","Page 77: (Table) Fiscal year 2023 2022 2021 2020 2019 'Scope 2 (market-based) 3,400 3,000 2,780 0 0 '","Page 97: (Apex Independent Assurance Statement, Our Findings table) Scope 2 GHG Emissions (Location-Based) 1,206,700 tCO2e ' and Scope 2 GHG Emissions (Market-Based) 3,400 tCO2e '."
